orderid   custid    itemid  pieces  datetran  
7386      65666968  1       8       01.04.2014
7387      13827456  6       2       23.11.2014
7388      48864293  59      10      07.01.2013
7389      13717529  60      9       19.06.2013
7390      10092871  58      6       01.11.2014
7391      49507559  37      2       20.12.2014
7392      42865301  3       8       30.10.2013
7393      67421318  31      10      16.11.2013
7394      42339111  29      4       05.08.2013
7395      69690479  47      2       30.07.2014
7396      11424052  23      4       21.07.2014
7397      45678774  14      9       11.04.2013
7398      13863614  32      5       23.05.2014
7399      42096693  43      7       13.01.2013
7400      64015513  17      2       04.03.2013
7401      60789549  17      10      26.01.2013
7402      69980128  54      4       09.10.2014
7403      13922530  49      7       03.11.2014
7404      60894865  34      9       06.02.2013
7405      45242674  44      9       22.03.2014
7406      63840863  53      2       05.11.2014
7407      72192823  30      9       12.07.2014
7408      12907375  2       9       16.06.2013
7409      45659648  8       4       28.10.2013
7410      65018699  53      4       20.03.2014
7411      44859074  26      2       10.07.2013
7412      68738731  12      7       16.05.2014
7413      69921172  42      1       19.10.2014
7414      41680570  59      10      21.08.2013
7415      62191528  39      2       18.11.2014
7416      43522238  39      10      14.02.2013
7417      18269591  9       1       18.06.2014
7418      15643514  28      6       19.10.2014
7419      40807606  54      3       12.06.2014
7420      69690479  43      4       25.04.2013
7421      41001991  51      10      23.05.2014
7422      64621651  46      9       11.10.2014
7423      43969020  21      5       25.12.2014
7424      41817311  15      7       29.12.2014
7425      49382411  52      10      18.05.2013
7426      47150793  37      2       22.10.2013
7427      48523461  44      7       20.08.2014
7428      16619072  23      1       11.05.2014
7429      40299473  11      5       16.11.2013
7430      62648756  8       8       30.07.2013
7431      67673554  37      4       12.06.2014
7432      65684346  29      1       27.07.2014
7433      60122102  5       5       30.06.2013
7434      47107251  23      10      19.04.2013
7435      46824596  30      5       21.06.2013
7436      68024720  4       10      23.10.2014
7437      65952090  4       5       23.12.2013
7438      49498096  49      1       05.02.2013
7439      44633904  32      8       09.03.2013
7440      15263487  37      3       18.07.2014
7441      16527691  53      7       04.01.2013
7442      25248430  3       2       12.08.2014
7443      43776086  11      8       15.04.2013
7444      40682684  52      2       03.02.2013
7445      45659648  42      4       15.10.2013
7446      64728773  16      9       17.04.2014
7447      49508903  25      9       31.03.2013
7448      67152228  19      2       17.10.2014
7449      68696311  51      3       19.07.2014
7450      44477937  20      8       18.11.2014
7451      67416705  37      5       07.08.2013
7452      46496041  58      7       22.12.2014
7453      70672245  12      4       17.03.2013
7454      60964731  32      7       24.02.2014
7455      18788203  30      6       22.03.2013
7456      18643701  9       7       19.03.2013
7457      62189450  25      4       21.05.2014
7458      60945427  60      10      08.09.2013
7459      13890018  29      5       23.10.2014
7460      66423040  59      8       08.10.2014
7461      44217544  27      4       03.05.2013
7462      47802685  39      1       08.06.2013
7463      43575857  43      4       17.02.2014
7464      42204909  41      3       27.03.2013
7465      63184834  31      2       26.10.2013
7466      43378218  20      8       09.10.2014
7467      60767961  15      4       02.11.2013
7468      63847612  32      10      08.11.2013
7469      48348716  19      8       31.07.2013
7470      13002317  22      2       07.08.2014
7471      13611011  45      6       22.05.2013
7472      44862512  13      7       10.12.2013
7473      68738714  16      10      12.02.2014
7474      25248430  59      6       02.03.2013
7475      60720182  4       5       18.09.2014
7476      12680591  5       1       18.06.2013
7477      11539127  19      7       23.08.2013
7478      45527083  2       5       10.12.2014
7479      25921967  42      10      01.11.2013
7480      18502539  9       1       13.07.2014
7481      40022641  18      10      04.08.2013
7482      43700055  39      7       16.09.2014
7483      65925343  58      8       26.11.2014
7484      16317645  12      1       24.05.2013
7485      60984074  52      4       16.09.2013
7486      63436680  60      5       12.02.2014
7487      12237795  27      10      05.11.2014
7488      64573699  32      5       27.05.2013
7489      44448058  39      8       05.08.2014
7490      42702551  21      6       21.07.2013
7491      72429089  36      7       15.03.2014
7492      70729786  51      1       07.12.2013
7493      18128149  26      9       22.12.2014
7494      61087424  54      8       09.09.2013
7495      12650927  60      2       30.05.2013
7496      15487938  18      7       30.06.2014
7497      16172027  42      7       11.04.2014
7498      63131820  17      2       02.04.2013
7499      67416705  41      8       12.12.2014
7500      67506151  57      3       03.01.2013
7501      47090022  12      5       23.05.2013
7502      40102971  7       10      23.10.2013
7503      49088831  56      10      21.02.2013
7504      14685914  14      4       21.08.2013
7505      43538479  10      4       06.12.2014
7506      67293557  7       7       09.03.2014
7507      49088831  19      8       24.08.2013
7508      62637550  29      3       12.05.2014
7509      42131022  34      9       13.05.2013
7510      16767799  34      4       24.03.2014
7511      60155141  3       8       13.09.2013
7512      12147907  33      2       25.08.2014
7513      10303499  36      1       25.05.2014
7514      49261592  15      4       06.06.2014
7515      63636701  29      2       20.04.2013
7516      72308494  13      8       24.03.2013
7517      60789549  46      6       09.04.2013
7518      66456495  43      10      07.08.2013
7519      63436680  29      2       18.03.2014
7520      67864465  1       10      03.07.2013
7521      46361898  51      9       26.08.2014
7522      65850548  49      2       05.09.2013
7523      41398025  51      5       11.12.2013
7524      40299473  31      3       13.07.2013
7525      10146181  53      7       04.03.2014
7526      63548984  32      5       21.07.2014
7527      87654326  54      9       15.05.2014
7528      70327912  15      8       27.10.2014
7529      69545596  40      7       16.05.2014
7530      41828283  9       2       07.07.2014
7531      42760976  54      6       19.11.2014
7532      62282948  55      6       22.04.2014
7533      41815084  28      2       28.01.2013
7534      46071768  16      8       09.08.2014
7535      68729804  46      6       27.05.2013
7536      67506151  25      4       10.11.2014
7537      61115495  55      4       12.05.2013
7538      12237795  60      10      07.06.2014
7539      63990474  7       5       31.03.2013
7540      14636077  35      2       10.08.2013
7541      69410305  57      9       21.04.2013
7542      18128149  11      5       15.01.2013
7543      14798620  48      4       01.01.2014
7544      13918630  8       7       12.08.2014
7545      66026067  30      4       26.06.2013
7546      66781558  37      9       23.12.2014
7547      60494158  46      6       22.07.2013
7548      70238812  25      3       23.08.2013
7549      68202130  14      1       05.01.2014
7550      43776086  12      5       04.07.2013
7551      26040000  16      7       12.05.2013
7552      64252604  11      3       22.08.2013
7553      70624933  43      4       18.06.2013
7554      46051147  16      8       21.06.2014
7555      15477410  9       9       03.06.2013
7556      15290280  4       10      26.03.2014
7557      11430508  11      1       20.08.2014
7558      60964731  25      4       14.12.2014
7559      41585208  6       7       21.09.2014
7560      64977544  45      5       13.12.2014
7561      18502539  19      2       18.04.2014
7562      13890018  18      7       14.02.2014
7563      71693998  36      9       17.06.2014
7564      40860931  58      1       07.04.2014
7565      68729804  49      4       15.03.2013
7566      14811642  2       6       26.10.2013
7567      43883991  54      9       09.07.2014
7568      41368231  54      9       24.08.2014
7569      49382411  7       2       06.10.2014
7570      11539127  34      2       05.06.2013
7571      66101018  40      4       05.12.2013
7572      26543745  15      7       14.05.2014
7573      40363660  27      7       17.09.2014
7574      68885881  1       1       28.01.2013
7575      64842878  56      6       05.11.2013
7576      15063593  14      9       07.01.2014
7577      48764957  32      9       15.04.2014
7578      70327076  24      8       16.12.2014
7579      18967353  26      1       01.04.2014
7580      66902932  40      10      13.06.2014
7581      16172027  29      3       23.08.2014
7582      12912115  47      1       17.07.2014
7583      14811642  59      2       24.06.2014
7584      69553995  28      3       27.02.2013
7585      45581185  16      5       08.03.2014
7586      47150793  18      4       20.02.2014
7587      40789829  18      10      04.05.2013
7588      69317909  16      3       30.01.2013
7589      26130495  44      8       25.11.2014
7590      40564398  45      2       02.08.2014
7591      14685914  56      4       04.01.2013
7592      49188909  23      8       20.09.2013
7593      66117127  29      6       06.03.2013
7594      61087424  30      9       08.06.2013
7595      68885881  50      4       25.10.2013
7596      67506151  54      9       30.10.2014
7597      13413449  55      10      01.11.2014
7598      18557791  20      1       19.07.2014
7599      13263668  29      4       06.08.2014
7600      44493452  44      2       15.01.2013
7601      47911476  38      5       27.01.2014
7602      46598073  13      7       18.05.2013
7603      62798545  46      8       08.11.2013
7604      13506731  37      10      07.11.2013
7605      67469968  41      4       02.06.2014
7606      45445435  33      8       23.06.2013
7607      65925343  24      1       14.11.2014
7608      69363137  30      8       15.05.2013
7609      62099604  13      2       05.09.2014
7610      66392934  10      9       11.03.2014
7611      60485604  39      1       19.05.2013
7612      10611657  10      10      27.02.2013
7613      66483115  58      7       14.12.2014
7614      67864465  56      1       10.05.2014
7615      47107251  3       7       08.08.2014
7616      69410305  56      7       03.06.2014
7617      42617847  10      5       15.06.2013
7618      15777383  6       2       19.06.2013
7619      68939949  10      2       15.10.2014
7620      15777383  33      3       16.12.2014
7621      16823842  9       1       27.07.2014
7622      46746503  9       1       10.09.2014
7623      44958781  23      8       07.01.2014
7624      45973784  2       5       24.03.2014
7625      65372468  24      1       04.08.2013
7626      13863614  49      4       29.03.2014
7627      44224621  28      7       24.05.2014
7628      44915063  51      10      23.01.2013
7629      66390257  57      8       28.07.2014
7630      68603223  58      10      20.08.2013
7631      42749557  39      6       06.10.2013
7632      63092077  12      3       08.07.2013
7633      18636322  48      7       24.10.2013
7634      00466930  8       10      06.08.2014
7635      49088831  17      9       21.05.2014
7636      41676513  16      9       29.04.2014
7637      69855790  34      3       15.01.2014
7638      45707502  26      1       23.11.2014
7639      63590565  48      2       12.11.2014
7640      47574119  21      1       03.06.2014
7641      45541108  23      3       07.02.2014
7642      48883191  49      3       06.09.2013
7643      45012814  59      3       31.12.2013
7644      70106126  43      3       07.01.2013
7645      13755749  46      7       13.10.2013
7646      68933089  4       6       22.07.2013
7647      61254096  12      10      26.09.2014
7648      64709981  12      1       26.07.2013
7649      66572843  36      8       25.07.2013
7650      48151513  14      6       13.05.2013
7651      45242674  9       3       23.02.2014
7652      45100110  9       2       02.10.2013
7653      00466930  21      7       05.09.2013
7654      15523586  44      8       08.12.2014
7655      12680591  28      2       07.12.2013
7656      41390903  58      5       03.10.2013
7657      66572843  53      9       19.10.2014
7658      40671461  57      3       17.01.2013
7659      69778841  54      8       18.03.2014
7660      61170313  25      10      16.04.2014
7661      13004654  11      1       18.12.2013
7662      73007447  48      5       07.09.2014
7663      16908392  19      9       24.06.2013
7664      13586416  57      2       24.07.2013
7665      40774805  13      4       24.06.2014
7666      44658419  4       7       26.10.2014
7667      46414002  41      1       20.04.2014
7668      26543745  54      10      20.06.2013
7669      64434729  39      9       19.09.2013
7670      49498096  52      2       19.08.2013
7671      45976104  59      2       16.12.2013
7672      70740551  10      5       25.07.2013
7673      69069310  5       9       22.10.2014
7674      66483603  30      10      29.10.2014
7675      12771279  13      8       02.12.2013
7676      16053648  27      5       15.01.2014
7677      12907375  40      7       08.02.2014
7678      68979291  34      3       20.11.2013
7679      42872782  33      1       31.07.2014
7680      12385654  43      8       26.03.2013
7681      60720182  32      5       15.12.2014
7682      65919301  20      2       14.08.2013
7683      63403323  60      3       18.07.2013
7684      68926251  33      6       04.02.2014
7685      60685646  49      6       05.04.2013
7686      60188014  22      2       31.08.2014
7687      69921172  30      10      26.05.2014
7688      60646233  18      1       21.01.2013
7689      66483603  56      5       27.02.2014
7690      70729786  24      7       18.04.2014
7691      40189929  13      3       26.02.2013
7692      72671688  28      1       02.08.2013
7693      69643911  42      4       16.01.2014
7694      49969447  7       8       17.07.2013
7695      67382339  2       5       13.05.2014
7696      42421616  48      6       25.03.2013
7697      47651075  24      7       16.04.2013
7698      70221766  57      2       05.05.2013
7699      40292266  39      1       17.02.2013
7700      49247760  50      10      24.10.2013
7701      61087424  54      3       13.07.2014
7702      40279863  43      1       01.01.2013
7703      15477410  38      7       22.10.2014
7704      61493686  34      3       06.07.2013
7705      66117127  2       10      23.03.2013
7706      43431127  45      10      21.01.2013
7707      62118137  37      3       09.02.2013
7708      41327853  2       10      01.10.2014
7709      70628041  40      8       25.01.2014
7710      43875386  46      4       15.07.2013
7711      12477761  23      7       06.02.2014
7712      68364571  54      8       04.02.2014
7713      45707502  5       2       20.01.2013
7714      46496041  37      1       28.09.2013
7715      26135264  33      1       13.05.2014
7716      68603223  14      7       13.12.2014
7717      49017641  8       7       07.11.2014
7718      44945370  11      9       16.11.2013
7719      46279008  47      4       29.05.2013
7720      43431127  42      8       22.11.2013
7721      70221448  1       3       03.08.2013
7722      16619072  16      8       22.01.2013
7723      46598073  27      10      30.01.2014
7724      68738731  12      1       20.07.2013
7725      64728773  29      6       23.10.2014
7726      47980745  2       2       14.03.2014
7727      13511297  40      1       22.10.2013
7728      16172027  12      2       31.07.2014
7729      44427662  39      2       25.06.2014
7730      13815300  11      2       16.05.2014
7731      63611279  6       5       17.10.2014
7732      63438348  16      7       28.09.2014
7733      68939949  2       7       27.10.2013
7734      25860674  8       6       04.05.2013
7735      25779729  24      5       03.03.2013
7736      15190706  56      8       09.04.2013
7737      68645546  8       3       12.09.2014
7738      42204909  57      1       10.06.2014
7739      12865320  31      6       23.12.2013
7740      42339111  60      1       13.02.2013
7741      70804818  15      2       05.07.2014
7742      45541108  1       9       24.11.2014
7743      45854939  21      8       06.06.2013
7744      12352497  1       8       26.01.2014
7745      41585208  58      6       08.08.2014
7746      45627045  28      9       18.07.2013
7747      41390903  30      9       08.12.2014
7748      26419572  46      2       29.11.2013
7749      12477761  51      7       28.06.2013
7750      63636701  44      6       23.05.2013
7751      15063593  21      9       13.10.2014
7752      45849315  7       8       22.12.2014
7753      72586761  56      7       11.04.2014
7754      11481072  47      10      22.12.2013
7755      40264211  22      10      08.08.2014
7756      43113265  33      7       25.06.2014
7757      13619063  20      10      01.08.2013
7758      41828283  41      4       12.01.2013
7759      42037662  17      9       08.07.2013
7760      12214157  6       5       13.09.2013
7761      70897247  49      6       18.05.2014
7762      43806929  41      3       14.01.2014
7763      25860674  34      3       02.01.2013
7764      49310569  60      6       02.05.2013
7765      11233991  16      8       13.02.2013
7766      45791571  9       7       02.11.2014
7767      11539127  34      8       07.12.2014
7768      46824596  45      5       22.10.2014
7769      70050503  9       1       15.11.2014
7770      40279863  40      5       08.09.2013
7771      10041401  59      5       27.10.2014
7772      15596460  1       10      09.01.2013
7773      69243417  40      4       14.03.2013
7774      40022641  14      5       20.02.2014
7775      67182241  17      4       19.09.2014
7776      66048711  11      6       31.03.2014
7777      18933203  49      4       07.12.2013
7778      45242674  51      10      11.04.2014
7779      12214157  26      9       30.07.2014
7780      72843993  39      10      16.03.2014
7781      62637550  9       4       10.02.2013
7782      18298745  56      3       16.12.2013
7783      69789126  48      4       28.04.2013
7784      16619072  29      4       17.05.2014
7785      12845884  37      5       27.05.2013
7786      42423953  53      2       22.01.2013
7787      45930601  21      4       30.01.2014
7788      65952090  32      1       08.07.2014
7789      65966163  4       5       29.01.2014
7790      46361898  40      10      19.02.2013
7791      44224621  60      5       24.05.2013
7792      14592274  57      8       18.11.2014
7793      42830052  37      8       20.06.2014
7794      18541372  57      6       07.05.2014
7795      12385654  11      2       21.03.2013
7796      12477761  42      9       13.01.2014
7797      62189450  51      1       07.04.2014
7798      40564398  57      6       31.07.2014
7799      60880423  56      5       30.07.2013
7800      62738208  4       5       19.01.2014
7801      67416705  42      5       30.12.2013
7802      66902932  24      6       24.11.2014
7803      65966163  38      10      09.04.2013
7804      45626421  17      8       07.05.2013
7805      45541108  44      10      05.10.2013
7806      16114299  25      4       14.06.2013
7807      46957910  36      2       01.11.2014
7808      13863797  29      5       18.10.2013
7809      67315224  12      4       07.03.2013
7810      69778841  32      1       12.05.2014
7811      65765036  41      8       29.04.2014
7812      45678774  7       3       14.04.2013
7813      44719817  10      9       23.04.2013
7814      70729786  52      8       15.06.2013
7815      62189450  9       6       04.07.2014
7816      15457664  51      8       01.11.2014
7817      48804738  28      7       06.06.2013
7818      47616032  60      1       04.04.2013
7819      48886122  28      10      16.12.2014
7820      26425939  55      8       06.12.2014
7821      40847781  41      4       15.05.2014
7822      61230774  48      2       22.03.2013
7823      60984074  49      9       18.11.2013
7824      40548872  6       4       02.03.2014
7825      49555049  48      9       02.03.2013
7826      62058061  17      7       19.07.2014
7827      65623878  1       2       04.02.2013
7828      40068820  11      8       28.11.2013
7829      64170349  8       1       12.08.2014
7830      72223464  29      10      09.03.2014
7831      63766914  34      6       28.09.2014
7832      72308494  30      5       24.08.2013
7833      46683704  55      10      21.08.2013
7834      44862512  6       7       29.05.2013
7835      64709981  2       8       05.04.2013
7836      47980745  40      5       18.12.2014
7837      67553135  30      4       01.03.2014
7838      63225425  18      7       17.07.2014
7839      41178203  53      1       04.06.2013
7840      67318967  6       3       10.01.2014
7841      16908392  56      4       12.09.2013
7842      16903901  16      9       30.04.2014
7843      15523586  32      2       29.09.2014
7844      66449774  8       1       24.08.2013
7845      48325201  51      6       10.03.2014
7846      65204212  54      3       25.09.2013
7847      49261592  20      1       23.09.2014
7848      41923006  58      1       27.03.2014
7849      41178203  36      4       27.05.2013
7850      41531591  38      3       23.10.2014
7851      48004448  35      2       12.01.2013
7852      42229766  11      2       13.12.2013
7853      10203265  5       5       02.10.2014
7854      47884207  16      1       19.08.2014
7855      40682684  42      6       15.05.2013
7856      41531591  12      6       19.10.2014
7857      61087424  54      6       29.11.2014
7858      40189929  2       2       25.02.2014
7859      11539127  52      3       11.05.2013
7860      69339856  25      10      17.02.2014
7861      64818055  34      7       27.06.2014
7862      15487938  11      2       22.12.2013
7863      62766449  59      1       12.09.2013
7864      68202130  18      8       17.12.2014
7865      18642080  24      8       11.01.2014
7866      65204212  17      6       19.12.2013
7867      64842878  49      3       02.09.2013
7868      41327853  39      7       13.11.2013
7869      40906027  26      10      01.02.2013
7870      60880423  26      3       10.09.2013
7871      42131022  2       5       16.01.2014
7872      66979641  10      7       13.07.2013
7873      42593883  13      9       08.11.2013
7874      40189929  7       4       04.01.2013
7875      42865301  37      8       17.08.2013
7876      65218531  13      7       04.09.2013
7877      17049849  11      1       26.04.2013
7878      48449512  52      10      06.10.2013
7879      47344997  57      10      10.02.2014
7880      69200394  9       9       28.04.2014
7881      13266381  43      10      09.01.2014
7882      67758684  40      2       25.03.2013
7883      62191528  50      8       19.02.2013
7884      40564398  4       9       31.10.2013
7885      65966163  51      1       29.10.2014
7886      14794501  25      6       01.07.2013
7887      41923006  41      3       30.05.2014
7888      40564398  8       2       24.05.2013
7889      68645546  7       5       15.11.2013
7890      45626421  7       6       27.09.2014
7891      26415470  49      6       31.12.2013
7892      26045176  5       9       02.11.2013
7893      60273071  41      10      03.06.2013
7894      40847781  2       5       21.02.2013
7895      12352497  8       3       18.09.2014
7896      66099064  53      7       13.09.2013
7897      41148690  5       2       03.05.2013
7898      25237471  55      7       22.11.2013
7899      43883991  18      1       16.08.2013
7900      63410354  16      5       18.11.2013
7901      70805792  13      7       22.10.2014
7902      43698697  16      6       28.11.2013
7903      48174009  16      5       13.12.2013
7904      68469519  3       7       13.06.2013
7905      45627045  19      1       22.02.2014
7906      18240607  12      2       06.03.2014
7907      12191485  46      6       27.06.2013
7908      66449774  25      8       05.06.2013
7909      26543745  31      5       19.10.2013
7910      41406541  37      5       10.12.2014
7911      70171475  31      4       20.07.2014
7912      15749681  41      3       01.07.2014
7913      16172752  47      5       18.07.2013
7914      14987635  10      5       20.01.2014
7915      66495091  18      10      19.07.2013
7916      13611011  3       2       11.06.2013
7917      49631501  12      7       08.10.2014
7918      49534203  9       6       13.09.2013
7919      70631506  10      5       04.09.2014
7920      48921441  58      4       21.04.2014
7921      13477153  39      5       08.03.2014
7922      64048616  14      4       01.12.2013
7923      69008574  6       7       27.04.2013
7924      48027367  43      10      20.09.2014
7925      47566361  2       8       27.04.2014
7926      13413449  42      9       12.01.2014
7927      41815084  48      9       22.03.2013
7928      18313973  7       7       13.05.2013
7929      11210338  58      2       01.04.2014
7930      42795745  18      8       03.12.2013
7931      63248000  53      3       31.10.2013
7932      48103764  56      9       05.02.2013
7933      25881761  6       1       17.06.2014
7934      49017641  24      5       17.04.2014
7935      66757843  26      2       28.01.2014
7936      67601235  2       8       02.11.2013
7937      25176200  6       2       06.01.2013
7938      69410305  45      9       03.01.2013
7939      14539888  21      10      06.11.2014
7940      45118728  58      6       17.11.2013
7941      12723304  6       3       25.05.2014
7942      69846081  38      3       17.04.2013
7943      61615048  42      7       24.11.2013
7944      16908392  41      10      29.06.2014
7945      61913791  17      7       16.01.2013
7946      40033686  48      2       31.03.2013
7947      65549031  5       7       25.10.2013
7948      40255085  30      1       17.03.2013
7949      70298084  10      3       21.09.2014
7950      67864465  6       9       19.02.2013
7951      60316012  7       2       28.08.2014
7952      69789126  13      7       03.03.2014
7953      41406541  42      10      28.09.2013
7954      43371183  37      10      01.03.2013
7955      16758277  9       6       02.07.2013
7956      12253448  7       7       27.11.2014
7957      68811730  4       2       30.01.2014
7958      13186558  60      8       13.03.2014
7959      40973433  8       2       14.07.2013
7960      43122990  59      4       29.12.2014
7961      66893771  3       9       05.01.2013
7962      66190998  59      10      15.12.2013
7963      64508447  54      5       11.11.2014
7964      12174378  60      6       08.04.2014
7965      64842878  46      5       24.04.2013
7966      00025534  55      6       28.12.2014
7967      22976612  38      9       18.03.2014
7968      48764957  58      5       10.12.2013
7969      45854939  22      10      19.06.2014
7970      68202130  56      8       10.11.2013
7971      46764542  40      8       09.08.2013
7972      64559238  11      4       03.08.2014
7973      67918654  24      5       20.01.2013
7974      65925343  49      3       21.07.2013
7975      60953586  4       2       09.12.2013
7976      67758684  42      3       20.01.2014
7977      16172027  10      8       10.01.2013
7978      13564838  57      3       29.07.2014
7979      13263668  25      1       01.12.2014
7980      25033433  50      1       26.12.2013
7981      26415470  24      4       30.11.2014
7982      48004448  7       3       07.07.2013
7983      48804738  18      1       17.11.2014
7984      65051034  41      5       03.04.2013
7985      67009468  4       8       04.03.2014
7986      12779385  1       10      10.08.2013
7987      40789829  1       10      17.07.2014
7988      26130495  37      10      13.05.2014
7989      68933089  24      7       10.08.2014
7990      19027036  27      5       03.09.2013
7991      12865320  52      1       24.07.2014
7992      66483603  45      9       24.08.2013
7993      11191511  28      3       13.07.2013
7994      11512857  10      10      02.01.2013
7995      67138225  6       1       03.04.2014
7996      46496041  46      4       17.02.2013
7997      66781558  56      4       12.10.2014
7998      44943890  36      5       11.09.2013
7999      65032161  57      5       05.01.2014
8000      48689092  20      9       03.08.2013
8001      18313973  51      1       19.08.2013
8002      70670251  38      8       29.06.2014
8003      44376693  18      2       03.03.2013
8004      67963161  60      1       08.02.2014
8005      65558910  26      4       20.02.2014
8006      60188014  52      2       17.08.2013
8007      63651840  3       4       20.07.2014
8008      65334132  55      9       20.02.2013
8009      19000553  4       9       22.02.2014
8010      72429089  30      3       03.01.2013
8011      68167563  49      6       08.07.2013
8012      40782468  8       4       09.06.2014
8013      40189929  55      4       15.10.2014
8014      13815300  41      7       13.01.2013
8015      64362906  43      5       14.05.2013
8016      48103764  59      10      06.10.2013
8017      25237471  17      9       26.12.2014
8018      40906027  26      1       03.08.2013
8019      70509948  22      5       06.02.2013
8020      61230774  10      9       31.07.2014
8021      69980128  57      6       03.04.2014
8022      40478823  3       8       12.02.2013
8023      14798620  3       6       21.01.2014
8024      70576521  26      6       25.06.2014
8025      64312275  20      3       08.11.2014
8026      63611279  55      2       21.08.2014
8027      16430565  23      4       03.06.2013
8028      11438916  51      4       25.10.2013
8029      49631501  49      9       27.12.2013
8030      44575491  27      5       14.06.2014
8031      68603223  22      2       31.05.2014
8032      13305956  19      3       24.02.2014
8033      62798545  1       9       24.09.2013
8034      61186040  46      1       28.07.2013
8035      19049951  31      7       02.11.2013
8036      61493686  12      9       29.04.2013
8037      13212095  27      3       31.07.2014
8038      68738714  7       4       15.06.2013
8039      41913752  60      4       21.08.2014
8040      61606880  41      3       07.05.2013
8041      64842878  8       8       07.04.2014
8042      18541372  19      8       29.04.2014
8043      48103764  37      5       05.08.2014
8044      61913791  26      7       28.01.2013
8045      40069419  42      9       27.09.2014
8046      64508447  46      6       14.12.2013
8047      62672070  48      8       28.07.2013
8048      18812961  59      2       14.04.2013
8049      65931963  13      1       21.05.2014
8050      64312275  35      9       08.08.2014
8051      63025086  33      7       13.08.2014
8052      66658977  4       7       22.03.2013
8053      70327912  39      10      11.02.2013
8054      70106126  24      8       17.07.2013
8055      60720182  55      8       06.06.2013
8056      66110033  22      4       01.01.2014
8057      12385654  57      5       01.10.2013
8058      60894865  29      7       25.10.2013
8059      41704631  3       4       14.03.2014
8060      60143622  12      8       10.04.2013
8061      62118137  27      8       14.03.2013
8062      66902932  40      1       25.11.2013
8063      48004448  59      4       18.05.2013
8064      44970919  9       6       16.10.2013
8065      65050614  51      6       13.05.2013
8066      43522238  14      1       23.08.2014
8067      10092871  20      6       01.02.2013
8068      49533622  25      3       29.07.2014
8069      72671688  36      7       26.02.2013
8070      68664826  60      5       22.12.2014
8071      12352497  2       6       24.03.2013
8072      70031096  7       10      09.01.2013
8073      72987898  14      2       12.02.2014
8074      13004654  8       5       04.05.2014
8075      66267676  54      4       09.07.2013
8076      71613498  53      10      14.08.2013
8077      26419572  42      8       04.07.2014
8078      42702551  9       4       27.01.2014
8079      45874689  39      7       07.11.2014
8080      11481072  44      2       29.09.2014
8081      61910333  43      7       22.11.2014
8082      69628475  22      1       12.04.2013
8083      16595998  32      8       25.03.2014
8084      18439179  4       10      19.04.2014
8085      67996603  35      3       16.05.2013
8086      10433414  19      6       29.11.2014
8087      61087424  49      2       03.11.2013
8088      68738714  44      5       05.03.2014
8089      42421616  17      4       24.02.2014
8090      11424052  25      7       08.04.2013
8091      70050503  57      7       23.07.2013
8092      44943890  7       10      12.12.2014
8093      26030659  53      6       27.05.2014
8094      62260715  56      6       26.06.2013
8095      13717529  13      2       08.05.2014
8096      12169463  58      5       07.02.2013
8097      45626421  27      5       27.11.2014
8098      60632381  16      5       18.03.2014
8099      00527815  27      1       01.04.2013
8100      71086382  22      3       24.11.2014
8101      16053648  36      7       25.08.2013
8102      15019772  13      1       30.09.2013
8103      16942361  46      2       12.05.2014
8104      40292266  46      3       11.08.2013
8105      61254096  45      4       22.10.2013
8106      25881761  45      5       22.03.2013
8107      49017641  18      5       17.09.2014
8108      70839948  26      3       18.06.2014
8109      13002317  30      2       21.01.2014
8110      44368801  27      7       15.11.2014
8111      62508539  52      5       16.11.2013
8112      46361898  31      6       10.02.2014
8113      13477153  25      7       21.07.2013
8114      72192823  49      3       21.10.2014
8115      71086382  21      1       10.02.2013
8116      47736372  39      5       08.01.2013
8117      72308494  28      6       19.07.2013
8118      61230774  7       2       20.10.2014
8119      69219010  4       10      09.11.2014
8120      18812961  29      8       03.02.2014
8121      44528825  37      3       26.04.2014
8122      66781558  7       8       28.04.2014
8123      15686868  49      10      04.02.2014
8124      12820288  2       2       18.05.2014
8125      15643514  36      10      08.06.2013
8126      42339111  38      4       26.11.2014
8127      60720182  27      5       28.07.2013
8128      12865320  11      8       20.02.2013
8129      14884631  59      10      25.11.2013
8130      64312275  21      10      10.07.2014
8131      46900420  34      1       14.07.2013
8132      67138225  47      1       15.05.2014
8133      16767799  55      4       11.02.2013
8134      15063593  1       1       01.04.2013
8135      60720182  60      1       12.11.2014
8136      46130110  5       5       25.06.2013
8137      13266381  39      1       25.05.2013
8138      62099604  53      9       01.10.2013
8139      12191485  23      1       08.03.2014
8140      63047233  51      4       16.09.2014
8141      45678774  38      7       29.04.2014
8142      66658977  13      5       26.01.2014
8143      68556578  1       1       08.11.2013
8144      15487938  7       10      30.12.2014
8145      69628475  17      3       15.11.2014
8146      15665356  25      9       27.01.2013
8147      48360886  18      8       15.11.2014
8148      15922626  27      1       17.09.2013
8149      48360886  19      4       29.12.2014
8150      67152228  60      7       17.05.2013
8151      16631854  6       8       25.01.2013
8152      11500794  40      2       08.03.2013
8153      12794180  58      9       14.08.2013
8154      47090022  55      9       30.04.2013
8155      16430565  43      9       17.12.2013
8156      18846637  15      2       20.05.2013
8157      17025451  2       5       23.05.2014
8158      45893322  54      9       17.05.2013
8159      12385654  6       4       15.06.2014
8160      43915701  55      1       15.01.2014
8161      15687830  44      3       19.10.2013
